Export Name,Source File,Total Occurrences,Unused?,Found In Files
continueResponse,src\lib\components\chat\Messages\ResponseMessage.svelte,13,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\routes\s\[id]\+page.svelte"
convertMessagesToHistory,src\lib\utils\index.ts,5,NO,"src\lib\components\chat\Chat.svelte, src\lib\utils\index.ts, src\routes\s\[id]\+page.svelte"
convertOpenAIChats,src\lib\utils\index.ts,3,NO,"src\lib\components\chat\Settings\Chats.svelte, src\lib\utils\index.ts"
copyToClipboard,src\lib\utils\index.ts,24,NO,"src\lib\components\chat\Artifacts.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\common\SVGPanZoom.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\utils\index.ts"
count,src\lib\components\common\Pagination.svelte,13,NO,"src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\channel\Messages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\common\Pagination.svelte"
createAPIKey,src\lib\apis\auths\index.ts,3,NO,"src\lib\apis\auths\index.ts, src\lib\components\chat\Settings\Account.svelte"
createMessagePair,src\lib\components\chat\Placeholder.svelte,8,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Placeholder.svelte"
createMessagesList,src\lib\utils\index.ts,28,NO,"src\lib\components\chat\Artifacts.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages\ContentRenderer.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\utils\index.ts, src\routes\s\[id]\+page.svelte"
createModel,src\lib\apis\ollama\index.ts,4,NO,"src\lib\apis\ollama\index.ts, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte"
createNewChannel,src\lib\apis\channels\index.ts,3,NO,"src\lib\apis\channels\index.ts, src\lib\components\layout\Sidebar.svelte"
createNewChat,src\lib\apis\chats\index.ts,6,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\Chat.svelte, src\lib\components\chat\Settings\Chats.svelte"
createNewFeedback,src\lib\apis\evaluations\index.ts,3,NO,"src\lib\apis\evaluations\index.ts, src\lib\components\chat\Messages\ResponseMessage.svelte"
createNewFolder,src\lib\apis\folders\index.ts,3,NO,"src\lib\apis\folders\index.ts, src\lib\components\layout\Sidebar.svelte"
createNewFunction,src\lib\apis\functions\index.ts,5,NO,"src\lib\apis\functions\index.ts, src\lib\components\admin\Functions.svelte, src\routes\(app)\admin\functions\create\+page.svelte"
createNewGroup,src\lib\apis\groups\index.ts,3,NO,"src\lib\apis\groups\index.ts, src\lib\components\admin\Users\Groups.svelte"
createNewKnowledge,src\lib\apis\knowledge\index.ts,2,NO,"src\lib\apis\knowledge\index.ts, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte"
createNewModel,src\lib\apis\models\index.ts,8,NO,"src\lib\apis\models\index.ts, src\lib\components\admin\Settings\Models.svelte, src\lib\components\workspace\Models.svelte, src\routes\(app)\workspace\models\create\+page.svelte"
createNewPrompt,src\lib\apis\prompts\index.ts,5,NO,"src\lib\apis\prompts\index.ts, src\lib\components\workspace\Prompts.svelte, src\routes\(app)\workspace\prompts\create\+page.svelte"
createNewTool,src\lib\apis\tools\index.ts,5,NO,"src\lib\apis\tools\index.ts, src\lib\components\workspace\Tools.svelte, src\routes\(app)\workspace\tools\create\+page.svelte"
createOpenAITextStream,src\lib\apis\streaming\index.ts,3,NO,"src\lib\apis\streaming\index.ts, src\lib\components\chat\Chat.svelte"
currentChatPage,src\lib\stores\index.ts,41,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\stores\index.ts, src\routes\+layout.svelte"
custom,src\lib\components\admin\Users\Groups\EditGroupModal.svelte,27,NO,"src\lib\components\AddFilesPlaceholder.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\chat\Overview.svelte, src\lib\components\chat\ShortcutsModal.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\routes\+layout.svelte"
data,src\lib\components\chat\Overview\Node.svelte,482,NO,"src\lib\apis\index.ts, src\lib\apis\audio\index.ts, src\lib\apis\channels\index.ts, src\lib\apis\files\index.ts, src\lib\apis\knowledge\index.ts, src\lib\apis\streaming\index.ts, src\lib\components\OnBoarding.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Users.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Thread.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatControls.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Overview.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\Commands.svelte, src\lib\components\chat\MessageInput\VoiceRecording.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\ProfileImage.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\Markdown\Source.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Overview\Node.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\common\Folder.svelte, src\lib\components\common\Image.svelte, src\lib\components\common\Pagination.svelte, src\lib\components\common\Selector.svelte, src\lib\components\common\Switch.svelte, src\lib\components\common\RichTextInput\AutoCompletion.js, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\lib\pyodide\pyodideKernel.worker.ts, src\lib\utils\index.ts, src\lib\workers\kokoro.worker.ts, src\lib\workers\KokoroWorker.ts, src\lib\workers\pyodide.worker.ts, src\routes\+layout.svelte, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\workspace\knowledge\+page.svelte, src\routes\(app)\workspace\models\create\+page.svelte, src\routes\(app)\workspace\prompts\create\+page.svelte, src\routes\(app)\workspace\tools\create\+page.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte, src\routes\auth\+page.svelte"
dayjs,src\lib\dayjs.js,110,NO,"src\lib\dayjs.js, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\admin\Users\UserList\UserChatsModal.svelte, src\lib\components\channel\Messages.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Settings\Personalization\ManageModal.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\utils\index.ts, src\routes\s\[id]\+page.svelte"
defineConfig,config\vite.config.ts,2,YES,config\vite.config.ts
deleteAllChats,src\lib\apis\chats\index.ts,3,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\Settings\Chats.svelte"
deleteAllFiles,src\lib\apis\files\index.ts,3,NO,"src\lib\apis\files\index.ts, src\lib\components\admin\Settings\Documents.svelte"
deleteAllModels,src\lib\apis\models\index.ts,3,NO,"src\lib\apis\models\index.ts, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte"
deleteChannelById,src\lib\apis\channels\index.ts,3,NO,"src\lib\apis\channels\index.ts, src\lib\components\layout\Sidebar\ChannelModal.svelte"
deleteChatById,src\lib\apis\chats\index.ts,7,NO,"src\lib\apis\chats\index.ts, src\lib\components\admin\Users\UserList\UserChatsModal.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte"
deleteFeedbackById,src\lib\apis\evaluations\index.ts,3,NO,"src\lib\apis\evaluations\index.ts, src\lib\components\admin\Evaluations\Feedbacks.svelte"
deleteFileById,src\lib\apis\files\index.ts,4,NO,"src\lib\apis\files\index.ts, src\lib\components\chat\MessageInput.svelte, src\lib\components\common\FileItem.svelte"
deleteFolderById,src\lib\apis\folders\index.ts,3,NO,"src\lib\apis\folders\index.ts, src\lib\components\layout\Sidebar\RecursiveFolder.svelte"
deleteFunctionById,src\lib\apis\functions\index.ts,3,NO,"src\lib\apis\functions\index.ts, src\lib\components\admin\Functions.svelte"
deleteGroupById,src\lib\apis\groups\index.ts,3,NO,"src\lib\apis\groups\index.ts, src\lib\components\admin\Users\Groups\GroupItem.svelte"
deleteHandler,src\lib\components\workspace\Tools\ToolMenu.svelte,21,NO,"src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Models\ModelMenu.svelte, src\lib\components\workspace\Prompts\PromptMenu.svelte, src\lib\components\workspace\Tools\ToolMenu.svelte"
deleteKnowledgeById,src\lib\apis\knowledge\index.ts,3,NO,"src\lib\apis\knowledge\index.ts, src\lib\components\workspace\Knowledge.svelte"
deleteMemoriesByUserId,src\lib\apis\memories\index.ts,3,NO,"src\lib\apis\memories\index.ts, src\lib\components\chat\Settings\Personalization\ManageModal.svelte"
deleteMemoryById,src\lib\apis\memories\index.ts,3,NO,"src\lib\apis\memories\index.ts, src\lib\components\chat\Settings\Personalization\ManageModal.svelte"
deleteMessage,src\lib\components\chat\Messages\UserMessage.svelte,15,NO,"src\lib\apis\channels\index.ts, src\lib\components\channel\Messages.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte"
deleteModel,src\lib\apis\ollama\index.ts,11,NO,"src\lib\apis\ollama\index.ts, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\workspace\Models.svelte"
deleteModelById,src\lib\apis\models\index.ts,3,NO,"src\lib\apis\models\index.ts, src\lib\components\workspace\Models.svelte"
deletePipeline,src\lib\apis\index.ts,3,NO,"src\lib\apis\index.ts, src\lib\components\admin\Settings\Pipelines.svelte"
deletePromptByCommand,src\lib\apis\prompts\index.ts,3,NO,"src\lib\apis\prompts\index.ts, src\lib\components\workspace\Prompts.svelte"
deleteSharedChatById,src\lib\apis\chats\index.ts,3,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\ShareChatModal.svelte"
deleteTagById,src\lib\apis\chats\index.ts,3,NO,"src\lib\apis\chats\index.ts, src\lib\components\chat\Tags.svelte"
deleteToolById,src\lib\apis\tools\index.ts,3,NO,"src\lib\apis\tools\index.ts, src\lib\components\workspace\Tools.svelte"
deleteUserById,src\lib\apis\users\index.ts,3,NO,"src\lib\apis\users\index.ts, src\lib\components\admin\Users\UserList.svelte"
description,src\lib\components\admin\Users\Groups\EditGroupModal.svelte,107,NO,"src\lib\apis\index.ts, src\lib\apis\knowledge\index.ts, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Users\Groups\AddGroupModal.svelte, src\lib\components\admin\Users\Groups\Display.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\MessageInput\Commands\Models.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\common\Valves.svelte, src\lib\components\layout\Sidebar\SearchInput.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Models\ActionsSelector.svelte, src\lib\components\workspace\Models\FiltersSelector.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Models\Knowledge\Selector.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\lib\stores\index.ts, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\workspace\tools\create\+page.svelte"
devices,src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte,5,NO,"src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte"
direct,src\lib\components\AddConnectionModal.svelte,8,NO,"src\lib\apis\index.ts, src\lib\apis\openai\index.ts, src\lib\components\AddConnectionModal.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Connections.svelte, src\lib\components\chat\Settings\Connections\Connection.svelte"
disabled,src\lib\components\common\Collapsible.svelte,105,NO,"src\lib\components\AddConnectionModal.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\WebSearch.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\Groups\AddGroupModal.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\chat\Artifacts.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\ModelSelector.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Controls\Valves.svelte, src\lib\components\chat\Messages\RateComment.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\Pagination.svelte, src\lib\components\common\SensitiveInput.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\ValvesModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\routes\+layout.svelte"
dismissed,src\lib\components\common\Banner.svelte,3,YES,src\lib\components\common\Banner.svelte
dismissible,src\lib\components\common\FileItem.svelte,12,NO,"src\lib\components\admin\Settings\Interface.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Controls\Controls.svelte, src\lib\components\common\Banner.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte, src\lib\components\workspace\Models\Knowledge.svelte, src\lib\types\index.ts"
displayMode,src\lib\components\chat\Messages\Markdown\KatexRenderer.svelte,15,NO,"src\lib\components\chat\Messages\Markdown\KatexRenderer.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\utils\marked\katex-extension.ts"
downloadChatAsPDF,src\lib\apis\utils\index.ts,5,NO,"src\lib\apis\utils\index.ts, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte"
downloadDatabase,src\lib\apis\utils\index.ts,3,NO,"src\lib\apis\utils\index.ts, src\lib\components\admin\Settings\Database.svelte"
downloadHandler,src\lib\components\layout\Navbar\Menu.svelte,2,NO,"src\lib\components\chat\Navbar.svelte, src\lib\components\layout\Navbar\Menu.svelte"
downloadModel,src\lib\apis\ollama\index.ts,3,NO,"src\lib\apis\ollama\index.ts, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte"
downloadPipeline,src\lib\apis\index.ts,3,NO,"src\lib\apis\index.ts, src\lib\components\admin\Settings\Pipelines.svelte"
dragAndDrop,src\lib\components\common\Folder.svelte,4,NO,"src\lib\components\common\Folder.svelte, src\lib\components\layout\Sidebar.svelte"
duration,src\lib\components\common\SlideShow.svelte,67,NO,"src\lib\components\OnBoarding.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\Suggestions.svelte, src\lib\components\chat\Messages\CitationsModal.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\common\Banner.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\ConfirmDialog.svelte, src\lib\components\common\Drawer.svelte, src\lib\components\common\Marquee.svelte, src\lib\components\common\Modal.svelte, src\lib\components\common\Selector.svelte, src\lib\components\common\Sidebar.svelte, src\lib\components\common\SlideShow.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Sidebar\SearchInput.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\utils\transitions\index.ts, src\routes\+layout.svelte, src\routes\(app)\admin\+layout.svelte, src\routes\(app)\home\+layout.svelte, src\routes\(app)\workspace\+layout.svelte"
edges,src\lib\components\chat\Overview\Flow.svelte,6,NO,"src\lib\components\chat\Overview.svelte, src\lib\components\chat\Overview\Flow.svelte"
edit,src\lib\components\workspace\Tools\ToolkitEditor.svelte,112,NO,"src\lib\components\AddConnectionModal.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Connections\OllamaConnection.svelte, src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\Groups\GroupItem.svelte, src\lib\components\admin\Users\Groups\Permissions.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Controls\Controls.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Settings\Connections\Connection.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\icons\PencilSquare.svelte, src\lib\components\layout\Sidebar\ChannelItem.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\workspace\models\edit\+page.svelte, src\routes\(app)\workspace\prompts\edit\+page.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte"
editHandler,src\lib\components\workspace\Tools\ToolMenu.svelte,9,NO,"src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Tools\ToolMenu.svelte"
editMessage,src\lib\components\chat\Messages\UserMessage.svelte,13,NO,"src\lib\components\chat\Messages.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte"
editorClassName,src\lib\components\chat\Messages\CodeBlock.svelte,4,NO,"src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\CodeExecutionModal.svelte"
eventTarget,src\lib\components\chat\MessageInput\CallOverlay.svelte,20,NO,"src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatControls.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte"
executeCode,src\lib\apis\utils\index.ts,5,NO,"src\lib\apis\utils\index.ts, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\pyodide\pyodideKernel.worker.ts"
exportAllFeedbacks,src\lib\apis\evaluations\index.ts,3,NO,"src\lib\apis\evaluations\index.ts, src\lib\components\admin\Evaluations\Feedbacks.svelte"
exportConfig,src\lib\apis\configs\index.ts,3,NO,"src\lib\apis\configs\index.ts, src\lib\components\admin\Settings\Database.svelte"
exportFunctions,src\lib\apis\functions\index.ts,3,NO,"src\lib\apis\functions\index.ts, src\lib\components\admin\Functions.svelte"
exportHandler,src\lib\components\workspace\Tools\ToolMenu.svelte,16,NO,"src\lib\components\admin\Functions.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Models\ModelMenu.svelte, src\lib\components\workspace\Prompts\PromptMenu.svelte, src\lib\components\workspace\Tools\ToolMenu.svelte"
exportTools,src\lib\apis\tools\index.ts,3,NO,"src\lib\apis\tools\index.ts, src\lib\components\workspace\Tools.svelte"
extractFrontmatter,src\lib\utils\index.ts,8,NO,"src\lib\utils\index.ts, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\workspace\tools\create\+page.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte"
extractParagraphsForAudio,src\lib\utils\index.ts,2,YES,src\lib\utils\index.ts
extractSentences,src\lib\utils\index.ts,2,YES,src\lib\utils\index.ts
extractSentencesForAudio,src\lib\utils\index.ts,2,YES,src\lib\utils\index.ts
feedbacks,src\lib\components\admin\Evaluations\Leaderboard.svelte,22,NO,"src\lib\apis\evaluations\index.ts, src\lib\components\admin\Evaluations.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte"
files,src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte,273,NO,"config\prepare-pyodide.js, src\lib\apis\files\index.ts, src\lib\components\AddFilesPlaceholder.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Settings\Database.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatControls.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\Commands.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\MessageInput\Commands\Prompts.svelte, src\lib\components\chat\Messages\CitationsModal.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\CodeExecutionModal.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\chat\Settings\Interface.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\common\Banner.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\common\RichTextInput.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\utils\index.ts, src\routes\s\[id]\+page.svelte"
