Function,File Path,Count
file,src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte,1
file,src\lib\components\layout\Sidebar\ChatMenu.svelte,1
file,src\lib\components\layout\Sidebar\RecursiveFolder.svelte,13
file,src\lib\components\workspace\Models.svelte,2
file,src\lib\components\workspace\Prompts.svelte,2
file,src\lib\components\workspace\Tools.svelte,2
file,src\lib\components\workspace\Knowledge\KnowledgeBase.svelte,51
file,src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte,13
file,src\lib\components\workspace\Models\Knowledge.svelte,7
file,src\lib\components\workspace\Models\ModelEditor.svelte,1
file,src\lib\components\workspace\Tools\ToolkitEditor.svelte,1
file,src\lib\utils\index.ts,8
file,src\lib\utils\characters\index.ts,32
file,src\routes\(app)\+layout.svelte,1
SUPPORTED_FILE_EXTENSIONS,src\lib\constants.ts,1
extensions,src\lib\constants.ts,1
extensions,src\lib\components\common\CodeEditor.svelte,4
extensions,src\lib\components\common\RichTextInput.svelte,1
extensions,src\lib\utils\marked\extension.ts,2
extensions,src\lib\utils\marked\katex-extension.ts,3
SUPPORTED_FILE_TYPES,src\lib\constants.ts,1
chatAction,src\lib\apis\index.ts,1
chatAction,src\lib\components\chat\Chat.svelte,2
modelIds,src\lib\apis\index.ts,3
modelIds,src\lib\components\AddConnectionModal.svelte,10
modelIds,src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte,12
modelIds,src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte,6
modelIds,src\lib\components\admin\Settings\Models\ModelList.svelte,6
modelIds,src\lib\components\chat\ChatPlaceholder.svelte,3
modelIds,src\lib\components\chat\Messages.svelte,1
getChangelog,src\lib\apis\index.ts,1
getChangelog,src\lib\components\ChangelogModal.svelte,2
localModels,src\lib\apis\index.ts,4
generateQueries,src\lib\apis\index.ts,1
getModelFilterConfig,src\lib\apis\index.ts,1
updateWebhookUrl,src\lib\apis\index.ts,1
updateWebhookUrl,src\lib\components\admin\Settings\General.svelte,2
updatePipelineValves,src\lib\apis\index.ts,1
updatePipelineValves,src\lib\components\admin\Settings\Pipelines.svelte,2
toggleCommunitySharingEnabledStatus,src\lib\apis\index.ts,1
stopTask,src\lib\apis\index.ts,1
stopTask,src\lib\components\chat\Chat.svelte,2
chatCompleted,src\lib\apis\index.ts,1
chatCompleted,src\lib\components\chat\Chat.svelte,2
getOpenAIModelsDirect,src\lib\apis\index.ts,2
getOpenAIModelsDirect,src\lib\apis\openai\index.ts,1
getPipelineValves,src\lib\apis\index.ts,1
getPipelineValves,src\lib\components\admin\Settings\Pipelines.svelte,2
generateAutoCompletion,src\lib\apis\index.ts,1
generateAutoCompletion,src\lib\components\chat\MessageInput.svelte,3
generateAutoCompletion,src\lib\components\common\RichTextInput.svelte,2
getTaskConfig,src\lib\apis\index.ts,1
getTaskConfig,src\lib\components\admin\Settings\Interface.svelte,2
actions,src\lib\apis\index.ts,1
actions,src\lib\components\chat\Messages\ResponseMessage.svelte,2
actions,src\lib\components\workspace\Models\ActionsSelector.svelte,4
actions,src\lib\components\workspace\Models\ModelEditor.svelte,1
actions,src\routes\auth\+page.svelte,1
getVersionUpdates,src\lib\apis\index.ts,1
getVersionUpdates,src\lib\components\chat\Settings\About.svelte,2
if,src\lib\apis\index.ts,93
if,src\lib\apis\audio\index.ts,12
if,src\lib\apis\auths\index.ts,48
if,src\lib\apis\channels\index.ts,24
if,src\lib\apis\chats\index.ts,67
if,src\lib\apis\configs\index.ts,22
if,src\lib\apis\evaluations\index.ts,16
if,src\lib\apis\files\index.ts,16
if,src\lib\apis\folders\index.ts,16
if,src\lib\apis\functions\index.ts,28
if,src\lib\apis\groups\index.ts,10
if,src\lib\apis\images\index.ts,21
if,src\lib\apis\knowledge\index.ts,20
if,src\lib\apis\memories\index.ts,12
if,src\lib\apis\models\index.ts,16
if,src\lib\apis\ollama\index.ts,38
if,src\lib\apis\openai\index.ts,32
if,src\lib\apis\prompts\index.ts,12
if,src\lib\apis\retrieval\index.ts,34
if,src\lib\apis\streaming\index.ts,17
if,src\lib\apis\tools\index.ts,26
if,src\lib\apis\users\index.ts,25
if,src\lib\apis\utils\index.ts,13
if,src\lib\components\AddConnectionModal.svelte,11
if,src\lib\components\AddFilesPlaceholder.svelte,4
if,src\lib\components\ChangelogModal.svelte,2
if,src\lib\components\NotificationToast.svelte,5
if,src\lib\components\OnBoarding.svelte,3
if,src\lib\components\admin\Evaluations.svelte,7
if,src\lib\components\admin\Functions.svelte,16
if,src\lib\components\admin\Settings.svelte,15
if,src\lib\components\admin\Users.svelte,8
if,src\lib\components\admin\Evaluations\Feedbacks.svelte,18
if,src\lib\components\admin\Evaluations\Leaderboard.svelte,18
if,src\lib\components\admin\Functions\FunctionEditor.svelte,8
if,src\lib\components\admin\Functions\FunctionMenu.svelte,2
if,src\lib\components\admin\Settings\Audio.svelte,13
if,src\lib\components\admin\Settings\CodeExecution.svelte,17
if,src\lib\components\admin\Settings\Connections.svelte,21
if,src\lib\components\admin\Settings\Database.svelte,3
if,src\lib\components\admin\Settings\Documents.svelte,36
if,src\lib\components\admin\Settings\Evaluations.svelte,8
if,src\lib\components\admin\Settings\General.svelte,7
if,src\lib\components\admin\Settings\Images.svelte,31
if,src\lib\components\admin\Settings\Interface.svelte,16
if,src\lib\components\admin\Settings\Models.svelte,14
if,src\lib\components\admin\Settings\Pipelines.svelte,42
if,src\lib\components\admin\Settings\WebSearch.svelte,13
if,src\lib\components\admin\Settings\Connections\OllamaConnection.svelte,2
if,src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte,4
if,src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte,15
if,src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte,15
