Export Name,Source File,Total Occurrences,Unused?,Found In Files
i18n,src\lib\i18n\index.ts,1649,NO,"src\lib\components\admin\Functions.svelte, src\lib\components\admin\Settings.svelte, src\lib\components\admin\Evaluations\FeedbackMenu.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Connections.svelte, src\lib\components\admin\Settings\Database.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\General.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\WebSearch.svelte, src\lib\components\admin\Settings\Connections\ManageOllamaModal.svelte, src\lib\components\admin\Settings\Connections\OllamaConnection.svelte, src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Settings\Models\ManageModelsModal.svelte, src\lib\components\admin\Settings\Models\ModelList.svelte, src\lib\components\admin\Settings\Models\Manage\ManageMultipleOllama.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\AddGroupModal.svelte, src\lib\components\admin\Users\Groups\Display.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\Groups\GroupItem.svelte, src\lib\components\admin\Users\Groups\Permissions.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\admin\Users\UserList\UserChatsModal.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Navbar.svelte, src\lib\components\channel\MessageInput\InputMenu.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\chat\Artifacts.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\ModelSelector.svelte, src\lib\components\chat\Navbar.svelte, src\lib\components\chat\Overview.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\SettingsModal.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\ShortcutsModal.svelte, src\lib\components\chat\Suggestions.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Controls\Controls.svelte, src\lib\components\chat\Controls\Valves.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\VoiceRecording.svelte, src\lib\components\chat\MessageInput\CallOverlay\VideoInputMenu.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\MessageInput\Commands\Models.svelte, src\lib\components\chat\MessageInput\Commands\Prompts.svelte, src\lib\components\chat\Messages\Citations.svelte, src\lib\components\chat\Messages\CitationsModal.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\CodeExecutionModal.svelte, src\lib\components\chat\Messages\ContentRenderer.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\RateComment.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\About.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\chat\Settings\Audio.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\chat\Settings\Connections.svelte, src\lib\components\chat\Settings\General.svelte, src\lib\components\chat\Settings\Interface.svelte, src\lib\components\chat\Settings\Personalization.svelte, src\lib\components\chat\Settings\Account\UpdatePassword.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Connections\Connection.svelte, src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\ManageModal.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\ConfirmDialog.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\common\Folder.svelte, src\lib\components\common\SVGPanZoom.svelte, src\lib\components\common\Tags.svelte, src\lib\components\common\Valves.svelte, src\lib\components\common\Tags\TagInput.svelte, src\lib\components\layout\Help.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\UpdateInfoToast.svelte, src\lib\components\layout\Help\HelpMenu.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Overlay\AccountPending.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChannelItem.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\layout\Sidebar\SearchInput.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\components\layout\Sidebar\Folders\FolderMenu.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddTextContentModal.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Models\ModelMenu.svelte, src\lib\components\workspace\Models\Knowledge\Selector.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Prompts\PromptMenu.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\lib\components\workspace\Tools\ToolMenu.svelte, src\lib\i18n\index.ts, src\routes\+layout.svelte, src\routes\(app)\admin\functions\create\+page.svelte"
id,src\lib\components\workspace\Tools\ToolkitEditor.svelte,1253,NO,"src\lib\apis\index.ts, src\lib\apis\audio\index.ts, src\lib\apis\chats\index.ts, src\lib\apis\files\index.ts, src\lib\apis\folders\index.ts, src\lib\apis\functions\index.ts, src\lib\apis\groups\index.ts, src\lib\apis\knowledge\index.ts, src\lib\apis\memories\index.ts, src\lib\apis\models\index.ts, src\lib\apis\ollama\index.ts, src\lib\apis\tools\index.ts, src\lib\apis\users\index.ts, src\lib\components\OnBoarding.svelte, src\lib\components\admin\Evaluations.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Settings.svelte, src\lib\components\admin\Users.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\Database.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Settings\Models\ModelList.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\Groups\GroupItem.svelte, src\lib\components\admin\Users\Groups\Permissions.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\admin\Users\UserList\UserChatsModal.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Messages.svelte, src\lib\components\channel\Navbar.svelte, src\lib\components\channel\Thread.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\channel\Messages\Message\ProfilePreview.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\ChatControls.svelte, src\lib\components\chat\ChatPlaceholder.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\ModelSelector.svelte, src\lib\components\chat\Navbar.svelte, src\lib\components\chat\Overview.svelte, src\lib\components\chat\Placeholder.svelte, src\lib\components\chat\SettingsModal.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\Suggestions.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Controls\Valves.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\Commands.svelte, src\lib\components\chat\MessageInput\FilesOverlay.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\MessageInput\Commands\Models.svelte, src\lib\components\chat\MessageInput\Commands\Prompts.svelte, src\lib\components\chat\Messages\Citations.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\CodeExecutionModal.svelte, src\lib\components\chat\Messages\CodeExecutions.svelte, src\lib\components\chat\Messages\ContentRenderer.svelte, src\lib\components\chat\Messages\Markdown.svelte, src\lib\components\chat\Messages\Message.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\RateComment.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\Messages\Markdown\Source.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\chat\Settings\Audio.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\ManageModal.svelte, src\lib\components\common\Banner.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\common\Folder.svelte, src\lib\components\common\RichTextInput.svelte, src\lib\components\common\Tags\TagInput.svelte, src\lib\components\layout\Help.svelte, src\lib\components\layout\Navbar.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Help\HelpMenu.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChannelItem.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\layout\Sidebar\SearchInput.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\ValvesModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte, src\lib\components\workspace\Models\ActionsSelector.svelte, src\lib\components\workspace\Models\FiltersSelector.svelte, src\lib\components\workspace\Models\Knowledge.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Models\ToolsSelector.svelte, src\lib\components\workspace\Models\Knowledge\Selector.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\lib\pyodide\pyodideKernel.ts, src\lib\pyodide\pyodideKernel.worker.ts, src\lib\stores\index.ts, src\lib\types\index.ts, src\lib\utils\index.ts, src\lib\utils\onedrive-file-picker.ts, src\lib\workers\pyodide.worker.ts, src\routes\+layout.svelte, src\routes\(app)\admin\+layout.svelte, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\c\[id]\+page.svelte, src\routes\(app)\workspace\+layout.svelte, src\routes\(app)\workspace\models\create\+page.svelte, src\routes\(app)\workspace\models\edit\+page.svelte, src\routes\(app)\workspace\tools\create\+page.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte, src\routes\s\[id]\+page.svelte"
token,src\lib\components\chat\Messages\Markdown\Source.svelte,1185,NO,"src\lib\apis\index.ts, src\lib\apis\audio\index.ts, src\lib\apis\auths\index.ts, src\lib\apis\channels\index.ts, src\lib\apis\chats\index.ts, src\lib\apis\configs\index.ts, src\lib\apis\evaluations\index.ts, src\lib\apis\files\index.ts, src\lib\apis\folders\index.ts, src\lib\apis\functions\index.ts, src\lib\apis\groups\index.ts, src\lib\apis\images\index.ts, src\lib\apis\knowledge\index.ts, src\lib\apis\memories\index.ts, src\lib\apis\models\index.ts, src\lib\apis\ollama\index.ts, src\lib\apis\openai\index.ts, src\lib\apis\prompts\index.ts, src\lib\apis\retrieval\index.ts, src\lib\apis\tools\index.ts, src\lib\apis\users\index.ts, src\lib\apis\utils\index.ts, src\lib\components\AddConnectionModal.svelte, src\lib\components\ChangelogModal.svelte, src\lib\components\admin\Evaluations.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Users.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Connections.svelte, src\lib\components\admin\Settings\Database.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\General.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\WebSearch.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Settings\Models\ManageModelsModal.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\Groups.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\GroupItem.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\admin\Users\UserList\UserChatsModal.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Messages.svelte, src\lib\components\channel\Thread.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Messages.svelte, src\lib\components\chat\ModelSelector.svelte, src\lib\components\chat\SettingsModal.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\Tags.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Controls\Valves.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\Commands.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\VoiceRecording.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\Messages\Markdown\Source.svelte, src\lib\components\chat\ModelSelector\Selector.svelte, src\lib\components\chat\Settings\About.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\chat\Settings\Audio.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\chat\Settings\Interface.svelte, src\lib\components\chat\Settings\Account\UpdatePassword.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\ManageModal.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Overlay\AccountPending.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChannelItem.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\layout\Sidebar\SearchInput.svelte, src\lib\components\layout\Sidebar\UserMenu.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\ValvesModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Models\Capabilities.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\utils\google-drive-picker.ts, src\lib\utils\onedrive-file-picker.ts, src\lib\utils\marked\extension.ts, src\lib\utils\marked\katex-extension.ts, src\lib\utils\rag\index.ts, src\routes\+layout.svelte, src\routes\(app)\+layout.svelte, src\routes\(app)\admin\functions\+page.svelte, src\routes\(app)\admin\functions\create\+page.svelte, src\routes\(app)\admin\functions\edit\+page.svelte, src\routes\(app)\workspace\knowledge\+page.svelte, src\routes\(app)\workspace\models\+page.svelte, src\routes\(app)\workspace\models\create\+page.svelte, src\routes\(app)\workspace\models\edit\+page.svelte, src\routes\(app)\workspace\prompts\create\+page.svelte, src\routes\(app)\workspace\prompts\edit\+page.svelte, src\routes\(app)\workspace\tools\create\+page.svelte, src\routes\(app)\workspace\tools\edit\+page.svelte, src\routes\auth\+page.svelte, src\routes\s\[id]\+page.svelte"
type,src\lib\components\workspace\common\ValvesModal.svelte,835,NO,"src\lib\apis\index.ts, src\lib\apis\audio\index.ts, src\lib\apis\channels\index.ts, src\lib\apis\configs\index.ts, src\lib\apis\folders\index.ts, src\lib\apis\knowledge\index.ts, src\lib\apis\ollama\index.ts, src\lib\apis\openai\index.ts, src\lib\apis\prompts\index.ts, src\lib\apis\retrieval\index.ts, src\lib\apis\streaming\index.ts, src\lib\apis\users\index.ts, src\lib\components\AddConnectionModal.svelte, src\lib\components\admin\Functions.svelte, src\lib\components\admin\Evaluations\Feedbacks.svelte, src\lib\components\admin\Evaluations\Leaderboard.svelte, src\lib\components\admin\Functions\FunctionEditor.svelte, src\lib\components\admin\Functions\FunctionMenu.svelte, src\lib\components\admin\Settings\Audio.svelte, src\lib\components\admin\Settings\CodeExecution.svelte, src\lib\components\admin\Settings\Connections.svelte, src\lib\components\admin\Settings\Database.svelte, src\lib\components\admin\Settings\Documents.svelte, src\lib\components\admin\Settings\Evaluations.svelte, src\lib\components\admin\Settings\General.svelte, src\lib\components\admin\Settings\Images.svelte, src\lib\components\admin\Settings\Interface.svelte, src\lib\components\admin\Settings\Models.svelte, src\lib\components\admin\Settings\Pipelines.svelte, src\lib\components\admin\Settings\WebSearch.svelte, src\lib\components\admin\Settings\Connections\OllamaConnection.svelte, src\lib\components\admin\Settings\Connections\OpenAIConnection.svelte, src\lib\components\admin\Settings\Evaluations\ArenaModelModal.svelte, src\lib\components\admin\Settings\Evaluations\Model.svelte, src\lib\components\admin\Settings\Models\ConfigureModelsModal.svelte, src\lib\components\admin\Settings\Models\Manage\ManageOllama.svelte, src\lib\components\admin\Users\UserList.svelte, src\lib\components\admin\Users\Groups\AddGroupModal.svelte, src\lib\components\admin\Users\Groups\Display.svelte, src\lib\components\admin\Users\Groups\EditGroupModal.svelte, src\lib\components\admin\Users\Groups\Permissions.svelte, src\lib\components\admin\Users\Groups\Users.svelte, src\lib\components\admin\Users\UserList\AddUserModal.svelte, src\lib\components\admin\Users\UserList\EditUserModal.svelte, src\lib\components\channel\Channel.svelte, src\lib\components\channel\MessageInput.svelte, src\lib\components\channel\Thread.svelte, src\lib\components\channel\Messages\Message.svelte, src\lib\components\channel\Messages\Message\ReactionPicker.svelte, src\lib\components\chat\Artifacts.svelte, src\lib\components\chat\Chat.svelte, src\lib\components\chat\MessageInput.svelte, src\lib\components\chat\Overview.svelte, src\lib\components\chat\SettingsModal.svelte, src\lib\components\chat\ShareChatModal.svelte, src\lib\components\chat\ShortcutsModal.svelte, src\lib\components\chat\ContentRenderer\FloatingButtons.svelte, src\lib\components\chat\Controls\Controls.svelte, src\lib\components\chat\Controls\Valves.svelte, src\lib\components\chat\MessageInput\CallOverlay.svelte, src\lib\components\chat\MessageInput\Commands.svelte, src\lib\components\chat\MessageInput\InputMenu.svelte, src\lib\components\chat\MessageInput\VoiceRecording.svelte, src\lib\components\chat\MessageInput\Commands\Knowledge.svelte, src\lib\components\chat\MessageInput\Commands\Models.svelte, src\lib\components\chat\MessageInput\Commands\Prompts.svelte, src\lib\components\chat\Messages\CodeBlock.svelte, src\lib\components\chat\Messages\CodeExecutionModal.svelte, src\lib\components\chat\Messages\MultiResponseMessages.svelte, src\lib\components\chat\Messages\ResponseMessage.svelte, src\lib\components\chat\Messages\UserMessage.svelte, src\lib\components\chat\Messages\Markdown\MarkdownInlineTokens.svelte, src\lib\components\chat\Messages\Markdown\MarkdownTokens.svelte, src\lib\components\chat\Overview\Node.svelte, src\lib\components\chat\Settings\Account.svelte, src\lib\components\chat\Settings\Audio.svelte, src\lib\components\chat\Settings\Chats.svelte, src\lib\components\chat\Settings\Connections.svelte, src\lib\components\chat\Settings\Interface.svelte, src\lib\components\chat\Settings\Personalization.svelte, src\lib\components\chat\Settings\Account\UpdatePassword.svelte, src\lib\components\chat\Settings\Advanced\AdvancedParams.svelte, src\lib\components\chat\Settings\Connections\Connection.svelte, src\lib\components\chat\Settings\Personalization\AddMemoryModal.svelte, src\lib\components\chat\Settings\Personalization\EditMemoryModal.svelte, src\lib\components\common\Badge.svelte, src\lib\components\common\Banner.svelte, src\lib\components\common\Checkbox.svelte, src\lib\components\common\CodeEditor.svelte, src\lib\components\common\Collapsible.svelte, src\lib\components\common\ConfirmDialog.svelte, src\lib\components\common\FileItem.svelte, src\lib\components\common\FileItemModal.svelte, src\lib\components\common\Folder.svelte, src\lib\components\common\Image.svelte, src\lib\components\common\Pagination.svelte, src\lib\components\common\RichTextInput.svelte, src\lib\components\common\SensitiveInput.svelte, src\lib\components\common\SVGPanZoom.svelte, src\lib\components\common\Valves.svelte, src\lib\components\common\RichTextInput\AutoCompletion.js, src\lib\components\common\Tags\TagInput.svelte, src\lib\components\common\Tags\TagList.svelte, src\lib\components\layout\Sidebar.svelte, src\lib\components\layout\Navbar\Menu.svelte, src\lib\components\layout\Sidebar\ArchivedChatsModal.svelte, src\lib\components\layout\Sidebar\ChannelModal.svelte, src\lib\components\layout\Sidebar\ChatItem.svelte, src\lib\components\layout\Sidebar\ChatMenu.svelte, src\lib\components\layout\Sidebar\RecursiveFolder.svelte, src\lib\components\workspace\Knowledge.svelte, src\lib\components\workspace\Models.svelte, src\lib\components\workspace\Prompts.svelte, src\lib\components\workspace\Tools.svelte, src\lib\components\workspace\common\AccessControl.svelte, src\lib\components\workspace\common\ManifestModal.svelte, src\lib\components\workspace\common\ValvesModal.svelte, src\lib\components\workspace\Knowledge\CreateKnowledgeBase.svelte, src\lib\components\workspace\Knowledge\ItemMenu.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddContentMenu.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\AddTextContentModal.svelte, src\lib\components\workspace\Knowledge\KnowledgeBase\Files.svelte, src\lib\components\workspace\Models\Knowledge.svelte, src\lib\components\workspace\Models\ModelEditor.svelte, src\lib\components\workspace\Models\Knowledge\Selector.svelte, src\lib\components\workspace\Prompts\PromptEditor.svelte, src\lib\components\workspace\Tools\ToolkitEditor.svelte, src\lib\i18n\index.ts, src\lib\pyodide\pyodideKernel.ts, src\lib\pyodide\pyodideKernel.worker.ts, src\lib\stores\index.ts, src\lib\types\index.ts, src\lib\utils\index.ts, src\lib\utils\onedrive-file-picker.ts, src\lib\utils\characters\index.ts, src\lib\utils\marked\extension.ts, src\lib\utils\marked\katex-extension.ts, src\lib\utils\transitions\index.ts, src\lib\workers\kokoro.worker.ts, src\lib\workers\KokoroWorker.ts, src\lib\workers\pyodide.worker.ts, src\routes\+layout.svelte, src\routes\auth\+page.svelte"
