File Type,Element Type,Element Name
.ts,variable,resetVectorDB
.ts,function,convertOpenAIChats
.ts,variable,videoUrl
.ts,variable,getChatList
.ts,variable,updateModelConfig
.ts,variable,appData
.ts,variable,convertOpenAIChats
.ts,variable,updateToolById
.ts,function,katexStart
.ts,variable,DEFAULT_MODEL_ID
.ts,variable,character
.ts,variable,iterator
.ts,variable,replaceTokens
.ts,variable,pickerApiLoaded
.ts,variable,attributes
.ts,variable,deleteFolderById
.ts,variable,getLanguages
.ts,variable,token
.ts,variable,getUserPosition
.ts,variable,settings
.ts,variable,updateQuerySettings
.ts,variable,isApp
.ts,variable,CLIENT_ID
.ts,variable,getUserGroups
.ts,variable,isInitialized
.ts,variable,rawAudio
.ts,variable,getJWTExpiresDuration
.ts,variable,chunkData
.ts,variable,pinnedChats
.ts,function,convertMessagesToHistory
.ts,variable,start
.ts,variable,SUPPORTED_FILE_EXTENSIONS
.ts,function,detectFormats
.ts,variable,convertMessagesToHistory
.ts,variable,getToolList
.ts,interface,Error
.ts,variable,detectFormats
.ts,variable,lines
.ts,variable,userLanguage
.ts,variable,getTools
.ts,variable,userSignUp
.ts,variable,createMessagesList
.ts,variable,escapedLeft
.ts,function,splitStream
.ts,variable,updatedLastLine
.ts,variable,splitStream
.ts,variable,state
.ts,variable,position
.ts,variable,createNewFunction
.ts,variable,socket
.ts,variable,updateFolderParentIdById
.ts,variable,text
.ts,variable,getRAGConfig
.ts,variable,WEBUI_VERSION
.ts,function,extractFrontmatter
.ts,function,getCurrentDateTime
.ts,variable,detailsRegex
.ts,variable,getUserTimezone
.ts,variable,showChangelog
.ts,variable,exportAllFeedbacks
.ts,variable,extractFrontmatter
.ts,variable,archiveAllChats
.ts,function,inlineKatex
.ts,variable,createNewTool
.ts,variable,channels
.ts,variable,sourceRegex
.ts,variable,verifyConfigUrl
.ts,variable,addUser
.ts,variable,getGroupById
.ts,variable,getCommunitySharingEnabledStatus
.ts,variable,sentences
.ts,function,getImportOrigin
.ts,variable,arrayBuffer
.ts,variable,getModelFilterConfig
.ts,variable,end
.ts,variable,theme
.ts,variable,updateDefaultUserRole
.ts,function,findWordIndices
.ts,variable,style
.ts,variable,SUPPORTED_FILE_TYPE
.ts,variable,findWordIndices
.ts,variable,getRAGTemplate
.ts,variable,processFile
.ts,variable,OPENAI_API_BASE_URL
.ts,variable,picker
.ts,variable,getSignUpEnabledStatus
.ts,variable,pullModel
.ts,variable,getOpenAIModels
.ts,variable,summary
.ts,variable,importChat
.ts,variable,getChatListByTagName
.ts,variable,generateTitle
.ts,variable,shareChatById
.ts,variable,initialized
.ts,variable,getPinnedChatList
.ts,variable,reader
.ts,variable,detectionOrder
.ts,variable,uploadModel
.ts,variable,sourceToken
.ts,variable,hashBuffer
.ts,function,processResult
.ts,variable,controller
.ts,variable,executeCode
.ts,variable,length
.ts,variable,updateEmbeddingConfig
.ts,variable,verifyOllamaConnection
.ts,function,handleMessage
.ts,variable,escapedRight
.ts,function,loadPyodideAndPackages
.ts,variable,generateTags
.ts,variable,ldapUserSignIn
.ts,variable,doc
.ts,variable,i18n
.ts,variable,updateModelFilterConfig
.ts,variable,getChangelog
.ts,variable,type
.ts,function,sleep
.ts,variable,sleep
.ts,variable,toggleCommunitySharingEnabledStatus
.ts,function,validateChat
.ts,function,extractCharacter
.ts,variable,API_KEY
.ts,variable,validateChat
.ts,variable,updateFileFromKnowledgeById
.ts,variable,exportTools
.ts,variable,extractCharacter
.ts,variable,formatPythonCode
.ts,variable,fileUrl
.ts,variable,getAllArchivedChats
.ts,function,removeFirstHashWord
.ts,variable,getOpenAIConfig
.ts,variable,lastId
.ts,variable,getWeekday
.ts,variable,OPENAI_API_CONFIGS
.ts,variable,archiveChatById
.ts,variable,updatePipelineValves
.ts,variable,getVoices
.ts,variable,parsePngText
.ts,variable,getImageGenerationConfig
.ts,variable,getImageGenerationModels
.ts,variable,frontmatterEnded
.ts,variable,modelsMap
.ts,variable,getFiles
.ts,variable,queryMemory
.ts,variable,generateTextCompletion
.ts,function,detailsExtension
.ts,variable,response
.ts,variable,deleteChatById
.ts,variable,resetUploadDir
.ts,variable,history
.ts,variable,generateInitialsImage
.ts,variable,updateLdapConfig
.ts,variable,queryCollection
.ts,variable,successful
.ts,variable,getFileById
.ts,variable,generateMoACompletion
.ts,variable,shortCodesToEmojis
.ts,function,removeFormattings
.ts,variable,chunks
.ts,variable,frontmatterPattern
.ts,variable,endIndex
.ts,variable,new_chat
.ts,variable,addReaction
.ts,variable,getChatListByUserId
.ts,variable,cleanText
.ts,variable,generateEmoji
.ts,variable,attrRegex
.ts,variable,jsonEndIndex
.ts,variable,weekdays
.ts,variable,valueB
.ts,variable,getModelById
.ts,class,KokoroWorker
.ts,variable,dateMonth
.ts,variable,titleGenerationTemplate
.ts,variable,matches
.ts,variable,getUserValvesById
.ts,variable,modelList
.ts,function,getFormattedDate
.ts,interface,Locals
.ts,variable,data
.ts,variable,summaryRegex
.ts,variable,getUserSettings
.ts,variable,getFormattedDate
.ts,variable,calculateSHA256
.ts,variable,showOverview
.ts,variable,codeBlockRegex
.ts,variable,startIndex
.ts,variable,examples
.ts,variable,updateOpenAIUrls
.ts,variable,createNewChannel
.ts,variable,deleteAllChats
.ts,variable,enable
.ts,variable,getCodeExecutionConfig
.ts,variable,updateTaskConfig
.ts,variable,compressedUrl
.ts,variable,temporaryChatEnabled
.ts,variable,messages
.ts,variable,knowledge
.ts,variable,mobile
.ts,variable,ctx
.ts,variable,updateChatFolderIdById
.ts,interface,Window
.ts,variable,getAudioConfig
.ts,variable,updateUserInfo
.ts,variable,createNewChat
.ts,variable,config
.ts,variable,sanitizeResponseContent
.ts,variable,deleteFunctionById
.ts,variable,toggleFunctionById
.ts,variable,getBaseModels
.ts,variable,extractSentences
.ts,variable,localModels
.ts,variable,readFile
.ts,variable,day
.ts,variable,canvas
.ts,variable,lastLine
.ts,variable,copyToClipboard
.ts,variable,getFeedbackById
.ts,variable,getGravatarUrl
.ts,variable,getDefaultUserRole
.ts,variable,generateEmbeddings
.ts,variable,updateRerankingConfig
.ts,variable,getFormattedTime
.ts,variable,diffTime
.ts,variable,WEBUI_BASE_URL
.ts,variable,scale
.ts,variable,updateGroupById
.ts,function,escapeRegExp
.ts,variable,updateKnowledgeById
.ts,variable,date
.ts,variable,frontmatter
.ts,variable,getChatById
.ts,variable,hashArray
.ts,function,extractSentencesForAudio
.ts,variable,blobUrl
.ts,variable,getTagsById
.ts,variable,decodeTextChunk
.ts,variable,extractSentencesForAudio
.ts,variable,uploadPipeline
.ts,variable,updateRAGConfig
.ts,variable,getGravatarURL
.ts,variable,updateToolValvesById
.ts,function,promptTemplate
.ts,variable,addFileToKnowledgeById
.ts,variable,getUserInfo
.ts,variable,tags
.ts,variable,getRerankingConfig
.ts,variable,promptTemplate
.ts,variable,setCodeExecutionConfig
.ts,variable,textChunk
.ts,variable,updateUserProfile
.ts,function,unescapeHtml
.ts,variable,setDirectConnectionsConfig
.ts,variable,img
.ts,variable,minutes
.ts,variable,words
.ts,function,canvasPixelTest
.ts,function,blockKatex
.ts,variable,updateOpenAIConfig
.ts,variable,fullMatch
.ts,variable,downloadPipeline
.ts,variable,removeFileFromKnowledgeById
.ts,variable,jsonStartIndex
.ts,variable,deletePromptByCommand
.ts,variable,getChatByShareId
.ts,variable,playingNotificationSound
.ts,variable,WEBUI_NAME
.ts,variable,updateFunctionValvesById
.ts,variable,imageData
.ts,function,loadResource
.ts,variable,actual
.ts,function,bestMatchingLanguage
.ts,variable,unitIndex
.ts,function,getPromptVariables
.ts,variable,loadResource
.ts,variable,bestMatchingLanguage
.ts,variable,deleteFileById
.ts,function,convertOpenAIMessages
.ts,variable,getVersionUpdates
.ts,variable,getModelConfig
.ts,interface,ModelParams
.ts,variable,units
.ts,variable,wordCount
.ts,variable,results
.ts,variable,showArchivedChats
.ts,variable,getFunctionValvesById
.ts,variable,updateModelById
.ts,variable,getKnowledgeBases
.ts,function,createPicker
.ts,variable,RAGTemplate
.ts,variable,updateUserPassword
.ts,variable,depth
.ts,variable,address
.ts,variable,languages
.ts,variable,deleteFeedbackById
.ts,variable,deleteChannelById
.ts,variable,user
.ts,variable,currentWeekday
.ts,variable,deleteMemoriesByUserId
.ts,variable,getFunctionById
.ts,interface,SearchDocument
.ts,variable,PASTED_TEXT_CHARACTER_LIMIT
.ts,variable,getAdminDetails
.ts,function,isValidHttpUrl
.ts,variable,isValidHttpUrl
.ts,function,findMatchingClosingTag
.ts,variable,queryDoc
.ts,variable,failed
.ts,variable,getSessionUser
.ts,variable,updateMemoryById
.ts,variable,TTSWorker
.ts,variable,updateOpenAIKeys
.ts,variable,defaultFlyAndScaleParams
.ts,variable,result
.ts,function,replaceTokens
.ts,variable,getUsers
.ts,variable,deleteAllFiles
.ts,variable,percentage
.ts,function,createIsLoadingStore
.ts,variable,endDelimiter
.ts,variable,json
.ts,variable,keyword
.ts,variable,getConfig
.ts,variable,script
.ts,variable,createIsLoadingStore
.ts,variable,viteServerConfig
.ts,variable,sanitizedFileName
.ts,variable,processResponseContent
.ts,variable,lastMessage
.ts,function,createI18nStore
.ts,function,detailsTokenizer
.ts,variable,scenario
.ts,variable,previousText
.ts,variable,chatCompletion
.ts,variable,getAllFeedbacks
.ts,variable,createI18nStore
.ts,variable,toggleModelById
.ts,variable,hashHex
.ts,function,compareVersion
.ts,variable,micropip
.ts,variable,compareVersion
.ts,variable,getAllUserChats
.ts,variable,currentDate
.ts,function,createMessagesList
.ts,variable,getPipelineValvesSpec
.ts,variable,dateDate
.ts,variable,sendMessage
.ts,variable,line
.ts,variable,parsed
.ts,variable,videoIdToken
.ts,variable,lowerCaseFileName
