File Type,Element Type,Element Name
.svelte,variable,chatObj
.svelte,variable,filteredPrompts
.svelte,variable,edges
.svelte,variable,channelEventHandler
.svelte,variable,textStream
.svelte,variable,submitHandler
.svelte,svelte_prop,isLastMessage
.svelte,svelte_prop,ollama
.svelte,variable,inputValue
.svelte,variable,tikaServerUrl
.svelte,variable,unarchiveAllHandler
.svelte,variable,turndownService
.svelte,variable,textCompletionHandler
.svelte,svelte_prop,showRelevance
.svelte,function,navigateContent
.svelte,svelte_prop,suggestionPrompts
.svelte,variable,addOllamaConnectionHandler
.svelte,variable,attrs
.svelte,variable,pullProgress
.svelte,variable,debounceTimeout
.svelte,variable,confirmEdit
.svelte,variable,parentId
.svelte,variable,exportChats
.svelte,variable,actionIds
.svelte,variable,isFileSystemAccessSupported
.svelte,function,normalizedValue
.svelte,variable,rmsLevel
.svelte,function,initModel
.svelte,svelte_prop,sources
.svelte,variable,comment
.svelte,variable,optionElement
.svelte,variable,modelsImportInputElement
.svelte,variable,header
.svelte,variable,voice
.svelte,variable,handleFirefoxUpload
.svelte,svelte_prop,showUserProfile
.svelte,variable,editedContent
.svelte,variable,createFileFromText
.svelte,function,updateStats
.svelte,variable,editorTheme
.svelte,function,onTouchStart
.svelte,variable,embeddingModel
.svelte,variable,modelFileUrl
.svelte,variable,bUserIndex
.svelte,variable,regenerateButton
.svelte,svelte_prop,name
.svelte,variable,showCreateChannel
.svelte,variable,selectedIdx
.svelte,variable,editorClassName
.svelte,variable,connection
.svelte,variable,_prompt
.svelte,variable,formattedCode
.svelte,variable,themeToApply
.svelte,function,onDragLeave
.svelte,variable,imageGenerationConfig
.svelte,function,themeChangeHandler
.svelte,variable,autocomplete
.svelte,variable,voiceInterruption
.svelte,function,validateCommandString
.svelte,variable,cancelLabel
.svelte,variable,updateBanners
.svelte,variable,promptSuggestions
.svelte,variable,TTS_OPENAI_API_BASE_URL
.svelte,variable,remainingSeconds
.svelte,variable,normalizedValue
.svelte,variable,feedbackLoading
.svelte,variable,prefixId
.svelte,variable,editMessageConfirmHandler
.svelte,variable,system
.svelte,variable,workspaceModels
.svelte,variable,webSearchEnabled
.svelte,function,triggerScroll
.svelte,variable,ENABLE_LDAP
.svelte,variable,initModel
.svelte,variable,bannerId
.svelte,variable,onAddLabel
.svelte,variable,idx
.svelte,variable,notificationEnabled
.svelte,variable,level
.svelte,variable,adminDetails
.svelte,svelte_prop,selectedFileId
.svelte,variable,continueButton
.svelte,variable,updatePasswordHandler
.svelte,svelte_prop,preserveBreaks
.svelte,variable,inputClassName
.svelte,variable,hideHandler
.svelte,variable,hasImageFile
.svelte,variable,dataURL
.svelte,variable,handleOpenAIError
.svelte,variable,chatId
.svelte,variable,suggestion
.svelte,variable,onTouchStart
.svelte,variable,modelTransferring
.svelte,variable,showCreateGroupModal
.svelte,variable,saveChatHandler
.svelte,variable,filterIds
.svelte,variable,allModelIds
.svelte,svelte_prop,run
.svelte,variable,JWTTokenCopied
.svelte,function,playAudio
.svelte,variable,uploadPipelineHandler
.svelte,svelte_prop,nodeTypes
.svelte,function,dismiss
.svelte,variable,toggleHapticFeedback
.svelte,variable,isLastMessage
.svelte,svelte_prop,shiftKey
.svelte,variable,assistantSpeaking
.svelte,function,handleFileChange
.svelte,variable,showSystem
.svelte,variable,deleteUserHandler
.svelte,variable,initHandler
.svelte,variable,deletePrompt
.svelte,variable,inRange
.svelte,svelte_prop,selectedKnowledge
.svelte,variable,processStream
.svelte,variable,onDragLeave
.svelte,variable,setWakeLock
